site_id,site_name,address,distribution_date,day,meal_type,meals_available
001_826-valencia-main,826 Valencia - Main,826 Valencia Street,2026-02-10,Tuesday,lunch,30
002_826-valencia-mission-bay,826 Valencia - Mission Bay,1310 4th Street,2026-02-10,Tuesday,lunch,30
003_826-valencia-tenderloin,826 Valencia - Tenderloin,180 Golden Gate Avenue,2026-02-10,Tuesday,lunch,30
004_bayview-ymca,Bayview YMCA,1601 Lane Street,2026-02-09,Monday,breakfast,50
004_bayview-ymca,Bayview YMCA,1601 Lane Street,2026-02-09,Monday,lunch,50
004_bayview-ymca,Bayview YMCA,1601 Lane Street,2026-02-10,Tuesday,lunch,50
005_bernal-heights-library,Bernal Heights Library,500 Cortland Avenue,2026-02-10,Tuesday,lunch,20
006_betty-an-ong-recreation-center,Betty An Ong Recreation Center,1199 Mason Street,2026-02-10,Tuesday,lunch,30
007_boys-and-girls-clubs-of-sf-excelsior-clubhouse,Boys and Girls Clubs of SF - Excelsior Clubhouse,163 London Street,2026-02-09,Monday,lunch,30
007_boys-and-girls-clubs-of-sf-excelsior-clubhouse,Boys and Girls Clubs of SF - Excelsior Clubhouse,163 London Street,2026-02-10,Tuesday,lunch,30
008_buena-vista-child-care,Buena Vista Child Care,1249 Alabama Street,2026-02-10,Tuesday,lunch,40
009_community-youth-center-chinatown,Community Youth Center - Chinatown,830 Sacramento,2026-02-09,Monday,lunch,100
009_community-youth-center-chinatown,Community Youth Center - Chinatown,830 Sacramento,2026-02-10,Tuesday,lunch,100
010_community-youth-center-richmond,Community Youth Center - Richmond,980 Clement Street,2026-02-09,Monday,lunch,150
010_community-youth-center-richmond,Community Youth Center - Richmond,980 Clement Street,2026-02-10,Tuesday,lunch,100
011_community-youth-center-tenderloin,Community Youth Center - Tenderloin,1038 Post Street,2026-02-09,Monday,lunch,50
011_community-youth-center-tenderloin,Community Youth Center - Tenderloin,1038 Post Street,2026-02-10,Tuesday,lunch,50
012_faces-sf,FACES SF,100 Whitney Young Circle,2026-02-09,Monday,lunch,100
012_faces-sf,FACES SF,100 Whitney Young Circle,2026-02-10,Tuesday,lunch,100
013_gilman-playground,Gilman Playground,903 Gilman Avenue,2026-02-09,Monday,breakfast,45
013_gilman-playground,Gilman Playground,903 Gilman Avenue,2026-02-09,Monday,lunch,45
013_gilman-playground,Gilman Playground,903 Gilman Avenue,2026-02-10,Tuesday,lunch,45
014_hamilton-recreation-center,Hamilton Recreation Center,1900 Geary Boulevard,2026-02-09,Monday,breakfast,20
014_hamilton-recreation-center,Hamilton Recreation Center,1900 Geary Boulevard,2026-02-09,Monday,lunch,20
014_hamilton-recreation-center,Hamilton Recreation Center,1900 Geary Boulevard,2026-02-10,Tuesday,lunch,20
015_ingleside-library,Ingleside Library,1298 Ocean Avenue,2026-02-10,Tuesday,lunch,20
016_joseph-lee-recreation-center,Joseph Lee Recreation Center,1395 Mendell Street,2026-02-09,Monday,breakfast,40
016_joseph-lee-recreation-center,Joseph Lee Recreation Center,1395 Mendell Street,2026-02-09,Monday,lunch,40
016_joseph-lee-recreation-center,Joseph Lee Recreation Center,1395 Mendell Street,2026-02-10,Tuesday,lunch,40
017_main-library,Main Library,100 Larkin Street,2026-02-10,Tuesday,lunch,20
018_minnie-and-lovie-ward-recreation-center,Minnie and Lovie Ward Recreation Center,650 Capitol Avenue,2026-02-10,Tuesday,lunch,30
019_mission-graduates,Mission Graduates,3040 16th Street,2026-02-09,Monday,breakfast,100
019_mission-graduates,Mission Graduates,3040 16th Street,2026-02-09,Monday,lunch,100
019_mission-graduates,Mission Graduates,3040 16th Street,2026-02-10,Tuesday,lunch,100
020_mission-language-and-vocational-school-excelsior,Mission Language and Vocational School - Excelsior,4834 Mission Street,2026-02-10,Tuesday,lunch,100
021_mission-language-and-vocational-school-main,Mission Language and Vocational School - Main,2929 19th Street,2026-02-09,Monday,breakfast,100
021_mission-language-and-vocational-school-main,Mission Language and Vocational School - Main,2929 19th Street,2026-02-09,Monday,lunch,150
